1    Taxa	EarHT	dpoll	EarDia
117  DE2	57.5	65.5	46.353
118  DE3	70	65	44.496
119  DE811	80	72.5	35.45125
120  E2558W	59.5	67.5	37.38
121  EP1	37.08	62	NaN
122  F2	34	63.5	27.147
123  F2834T	40	62	33.28333
124  F44	94	75	36.49875
125  F6	101.5	77	NaN
126  F7	27.5	58	27.689
127  GA209	76.33	74.5	34.958
128  GT112	136	78.5	NaN
129  H100	56	64.5	41.0735
130  H105W	44.5	61.5	40.51
131  H49	58	61.5	39.416
132  H84	48	64	41.838
133  H91	60	64.5	39.201
134  H95	55	65.5	38.834
135  H99	31	68.5	34.677
136  HI27	93.5	71	35.425
137  HP301	62	61.5	27.158
138  HY	56.5	64.5	34.823
139  I137TN	56.5	69	NaN
140  I205	55	66	NaN
141  I29	54	63	31.407
142  IA2132	43	67	35.154
143  IA5125	29.5	64	29.7525
144  IDS28	71.5	63	31.358
145  IDS69	44	65	24.88225
146  IDS91	41	62.5	27.553
147  IL101	31.5	65	32.357
148  IL14H	46	61	34.999
149  IL677A	45.5	64.5	36.276
150  K148	42	65.5	33.984
151  K4	70	69	36.81433
152  K55	43	67.5	39.8425
153  K64	69.25	67.5	42.828
154  KI11	63	74.5	40.465
155  KI14	95.5	78	29.192
156  KI2007	61	67.5	37.622
157  KI2021	107	75	40.14633
158  KI21	87.5	70.5	40.063
159  KI3	57.75	72	34.7015
160  KI43	59	76	30.326
161  KI44	55	71	33.19267
162  KY21	76.5	70.5	38.93467
163  KY226	64	72.5	37.37125
164  KY228	58.38	75.5	NaN
165  L317	98	65.5	34.72825
166  L578	101.5	72.5	39.627
167  M14	35	59.5	35.6355
168  M162W	63.5	74.5	40.095
169  M37W	62.88	70	38.801
170  MEF15655	NaN	65	NaN
171  MEF156-55-2	62.5	NaN	NaN
172  MO17	46	59.5	33.672
173  MO18W	65.5	70.5	39.596
174  MO1W	62	65	42.972
175  MO24W	101.5	67.5	45.51175
176  MO44	46	57.5	38.022
177  MO45	74.33	65.5	35.389
178  MO46	54.5	65	39.526
179  MO47	36.5	59	35.91767
180  MOG	87.88	65	42.585
181  MP339	71.5	71.5	38.333
182  MS1334	54.5	66	30.83556
183  MS153	55	59	42.406
184  MS71	47.5	57	35.358
185  MT42	44.5	59	29.971
186  N192	42.5	57.5	40.355
187  N28HT	57	66.5	41.431
188  N6	45	61	39.82533
189  N7A	54.5	63.5	41.767
190  NC222	84.5	70.5	37.047
191  NC230	57	70	43.833
192  NC232	55	68.5	44.877
193  NC236	58	72.5	36.2865
194  NC238	43	78	38.29429
195  NC250	37	64	36.44
196  NC258	60.5	70	36.866
197  NC260	52.5	63	35.866
198  NC262	25	59	37.31
199  NC264	48	65	38.303
200  NC268	74.38	69.5	32.867
201  NC290A	34	61.5	40.5525
202  NC292	55.5	65.5	42.8125
203  NC294	74	66.5	38.888
204  NC296	68.5	67	38.83125
205  NC296A	59.5	68.5	38.211
206  NC298	62	72.5	29.191
207  NC300	68	70	42.694
208  NC302	53	67.5	36.349
209  NC304	8	65	NaN
210  NC306	62.88	68	34.54667
211  NC308	59.63	66	39.408
212  NC310	60.5	65	41.4595
213  NC312	67.5	69.5	38.0875
214  NC314	58	66	36.278
215  NC316	85.38	69	42.321
216  NC318	72	72	31.811
217  NC320	83	71.5	41.711
218  NC322	77.5	71.5	33.15975
219  NC324	56.5	68	33.9025
220  NC326	88	67	41.2355
221  NC328	60	66	37.45
222  NC33	101	72	36.104
223  NC330	70	70	42.79525
224  NC332	76.5	71	34.923
225  NC334	80.5	70.5	33.938
226  NC336	50.5	75.5	34.172
227  NC338	71.5	70	33.97
228  NC340	60.5	65.5	38.974
229  NC342	68	64.5	35.18633
230  NC344	63.5	70.5	38.60725
231  NC346	62	68	36.276
232  NC348	73	67	31.202
233  NC350	49.5	69.5	32.829
234  NC352	53.5	72	35.537
235  NC354	67	71.5	32.8105
236  NC356	56	66.5	34.34075
237  NC358	41	63	35.785
238  NC360	56	71.5	37.205
239  NC362	51.5	63	38.849
240  NC364	48.5	64.5	38.6825
241  NC366	58	72.5	35.826
242  NC368	64.5	69	42.06567
243  NC370	70.63	72.5	42.082
244  NC372	69	68	42.281
245  ND246	32.5	54.5	28.935
246  OH40B	51.5	67.5	34.962
247  OH43	45	61	37.77
248  OH43E	31.5	61	37.124
249  OH603	48.5	65.5	NaN
250  OH7B	87	72.5	37.535
251  OS420	66	60.5	39.417
252  P39	43.5	64	35.394
253  PA762	50.5	67	37.828
254  PA875	67	65.5	40.87967
255  PA880	69.5	64.5	NaN
256  PA91	63	68.5	36.12175
257  Q6199	NaN	85	NaN
258  R109B	45	65	NaN
259  R168	57.92	64.5	28.88775
260  R177	31	61	38.019
261  R229	76	67	43.504
262  R4	48	67	37.284
263  SA24	60.5	65	29.11575
264  SC213R	67	76	34.337
265  SC357	55.5	74.5	34.858
266  SC55	128	75	41.88
267  SD40	46.5	60	38.5555
268  SD44	39	61.5	36.73775
269  SG1533	82.5	62.5	33.8
270  SG18	88.5	63.5	29.78
271  T232	73.5	70	35.651
272  T234	63.08	68.5	39.432
273  T8	87.75	70.5	35.29
274  TX303	102	71	41.5
275  TX601	87.63	78.5	42.91188
276  TZI10	81	78	33.84983
277  TZI11	75.5	71.5	32.988
278  TZI16	76.75	74	41.737
279  TZI18	79.38	70	39.82575
280  TZI25	82	72.5	38.817
281  TZI8	89.5	72.5	41.56075
282  TZI9	79	72	40.403
283  U267Y	53.5	75.5	35.491
284  VA102	47.5	65	NaN
285  VA14	56	66.5	36.955
286  VA17	49	63.5	34.376
287  VA22	62.5	66	36.168
288  VA26	41	61	37.617
289  VA35	52	63	40.0005
290  VA59	36.5	60.5	37.58
291  VA85	66	62.5	37.304
292  VA99	56	67.5	40.421
293  VAW6	38	62.5	35.685
294  W117HT	31	66	23.72333
295  W153R	27.5	66	NaN
296  W182B	46	62.5	31.492
297  W22	44	63.5	36.041
298  W401	35.5	58.5	35.40125
299  W64A	59.5	62.5	35.982
300  WD	48.5	62.5	30.479
301  WF9	52	64.5	36.61475
302  YU796NS	56.5    64	40.755                  
